,Region,Month,Rig count,Production per rig,Legacy production change,Total production,Production per rig.1,Legacy production change.1,Total production.1
0,Anadarko,2007-01-01,176.0,19.3513489,-549.87984,126398.038,841.708071,-112116.82,4031234.67
1,Anadarko,2007-02-01,180.0,20.1846282,-892.04952,134177.221,847.701921,-115362.73,4053324.71
2,Anadarko,2007-03-01,166.0,20.9351877,-1196.7295,137515.513,852.164166,-118263.59,4165395.7
3,Anadarko,2007-04-01,157.0,21.7685019,-1530.1311,140641.592,856.001392,-121435.61,4120066.16
4,Anadarko,2007-05-01,170.0,22.5876751,-1850.3324,138412.629,858.961651,-124485.49,4187525.8
5,Anadarko,2007-06-01,181.0,23.4788556,-2180.5224,137456.592,861.834679,-127626.29,4215022.56
6,Anadarko,2007-07-01,166.0,24.4105385,-2500.3865,137486.734,865.079997,-130676.17,4194201.58
7,Anadarko,2007-08-01,173.0,25.4324112,-2831.2992,136560.928,869.27884,-133867.5,4179020.45
8,Anadarko,2007-09-01,168.0,26.4167726,-3161.7976,147890.736,872.045957,-137107.41,4225867.76
9,Anadarko,2007-10-01,174.0,27.420736,-3480.0129,141914.097,871.36919,-140287.38,4244207.87
10,Anadarko,2007-11-01,182.0,28.3955415,-3806.9357,144096.361,868.229791,-143629.75,4257954.43
11,Anadarko,2007-12-01,182.0,29.4561379,-4120.1415,138315.262,866.488103,-146931.81,4117735.83
12,Anadarko,2008-01-01,180.0,30.7229391,-4437.3247,150085.095,872.041215,-150389.14,4197013.48
13,Anadarko,2008-02-01,187.0,31.7698344,-4740.2079,136413.946,882.070042,-153589.41,4243579.75
14,Anadarko,2008-03-01,190.0,32.2894381,-4997.6443,153781.227,887.881333,-155810.82,4247842.09
15,Anadarko,2008-04-01,190.0,32.4775894,-5220.234,153329.046,891.145292,-157569.62,4324881.73
16,Anadarko,2008-05-01,189.0,32.4603186,-5342.8547,149851.002,893.287426,-159090.07,4331260.29
17,Anadarko,2008-06-01,188.0,32.17296,-5447.977,150351.952,889.608937,-160609.77,4303752.03
18,Anadarko,2008-07-01,194.0,31.6487806,-5551.6138,151141.695,883.470708,-161688.16,4291665.8
19,Anadarko,2008-08-01,204.0,31.2343829,-5653.3684,148435.535,882.70998,-161924.65,4274460.12
20,Anadarko,2008-09-01,206.0,31.2420214,-5722.7829,153582.805,893.113335,-161245.1,4257180.53
21,Anadarko,2008-10-01,197.0,31.7771696,-5757.4734,144753.825,912.567902,-159977.37,4181587.38
22,Anadarko,2008-11-01,181.0,32.8180705,-5772.6066,144397.799,937.358648,-158070.22,4274001.76
23,Anadarko,2008-12-01,150.0,34.3433634,-5801.8733,139955.623,966.765663,-155447.96,4281795.64
24,Anadarko,2009-01-01,128.0,36.6143944,-5841.7146,142224.136,1006.36583,-151722.93,4303692.58
25,Anadarko,2009-02-01,105.0,39.6009273,-5847.4645,152920.854,1056.05165,-147673.28,4392106.53
26,Anadarko,2009-03-01,84.0,42.6562783,-5801.5319,142329.266,1104.04939,-143888.71,4180801.09
27,Anadarko,2009-04-01,72.0,46.2689596,-5695.7251,148624.669,1153.02159,-139345.54,4207151.09
28,Anadarko,2009-05-01,62.0,49.8047166,-5545.1531,150063.316,1185.33267,-135022.98,4272434.64
29,Anadarko,2009-06-01,57.0,53.3029585,-5368.138,146761.889,1196.17175,-130868.95,4250064.83
30,Anadarko,2009-07-01,59.0,56.5808156,-5198.4052,135727.288,1188.02427,-126825.49,4225765.16
31,Anadarko,2009-08-01,63.0,60.2198884,-5043.6218,136470.912,1186.42151,-122211.36,4173917.25
32,Anadarko,2009-09-01,64.0,62.5608597,-4935.4517,143116.847,1159.69566,-117982.63,4165683.03
33,Anadarko,2009-10-01,69.0,63.3013212,-4884.4861,142907.8,1175.30276,-114741.19,4098094.83
34,Anadarko,2009-11-01,76.0,64.8501587,-4888.3025,138278.558,1192.65544,-112022.97,4092578.16
35,Anadarko,2009-12-01,93.0,66.3025417,-4947.2979,130772.823,1208.4431,-110677.74,3875505.38
36,Anadarko,2010-01-01,100.0,67.4948947,-5056.6835,126672.812,1227.44372,-110636.57,3853863.45
37,Anadarko,2010-02-01,107.0,67.9963741,-5230.6085,141394.54,1258.03674,-112472.67,4096375.39
38,Anadarko,2010-03-01,113.0,67.9749811,-5383.5513,148532.78,1294.48471,-116227.09,4023505.99
39,Anadarko,2010-04-01,122.0,68.5034522,-5551.3779,148314.683,1335.21774,-122461.83,4043004.8
40,Anadarko,2010-05-01,131.0,69.9576628,-5731.3776,150378.948,1361.57589,-129342.69,4104610.54
41,Anadarko,2010-06-01,137.0,71.9132333,-5950.9347,157549.813,1369.10226,-135889.13,4417154.1
42,Anadarko,2010-07-01,145.0,73.3348682,-6231.1679,159991.05,1354.42161,-141587.6,4236823.51
43,Anadarko,2010-08-01,151.0,74.1189392,-6597.8951,159810.322,1326.54262,-147940.53,4220288.38
44,Anadarko,2010-09-01,158.0,74.6113551,-7051.334,164379.091,1308.71503,-155351.81,4494213.13
45,Anadarko,2010-10-01,174.0,75.5535033,-7532.5559,166491.073,1286.6919,-163424.71,4331185.35
46,Anadarko,2010-11-01,174.0,77.7400115,-8090.9913,181884.36,1273.55461,-172535.87,4626670.95
47,Anadarko,2010-12-01,184.0,80.3012077,-8701.7866,180645.428,1261.60439,-181469.22,4421292.54
48,Anadarko,2011-01-01,179.0,82.5119384,-9374.8454,183679.089,1253.54226,-189839.04,4269655.22
49,Anadarko,2011-02-01,175.0,84.2179681,-10063.627,167248.072,1251.46473,-197020.42,4099522.49
